createThreshold    | removeThreshold    | surviveThreshold   | surviveMovePercent | minScorePrediction | Result 
          0.000000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |           0.799722
          0.000000 |           0.000000 |           0.000000 |           1.000000 |           0.000000 |           0.799722
          0.000000 |           0.000000 |           1.000000 |           0.000000 |           0.000000 |           0.799722
          0.000000 |           0.000000 |           1.000000 |           1.000000 |           0.000000 |           0.799722
          0.000000 |           1.000000 |           1.000000 |           0.000000 |           0.000000 |           0.799722
          0.000000 |           1.000000 |           1.000000 |           1.000000 |           0.000000 |           0.799722
          0.000000 |           1.000000 |           0.000000 |           0.000000 |           0.000000 |           0.718164
          0.000000 |           1.000000 |           0.000000 |           1.000000 |           0.000000 |           0.675637
          0.000000 |           0.000000 |           0.000000 |           0.000000 |           1.000000 |           0.000000
          0.000000 |           0.000000 |           0.000000 |           1.000000 |           1.000000 |           0.000000
          0.000000 |           0.000000 |           1.000000 |           0.000000 |           1.000000 |           0.000000
          0.000000 |           0.000000 |           1.000000 |           1.000000 |           1.000000 |           0.000000
          0.000000 |           1.000000 |           0.000000 |           0.000000 |           1.000000 |           0.000000
          0.000000 |           1.000000 |           0.000000 |           1.000000 |           1.000000 |           0.000000
          0.000000 |           1.000000 |           1.000000 |           0.000000 |           1.000000 |           0.000000
          0.000000 |           1.000000 |           1.000000 |           1.000000 |           1.000000 |           0.000000
          1.000000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |           0.000000
          1.000000 |           0.000000 |           0.000000 |           0.000000 |           1.000000 |           0.000000
          1.000000 |           0.000000 |           0.000000 |           1.000000 |           0.000000 |           0.000000
          1.000000 |           0.000000 |           0.000000 |           1.000000 |           1.000000 |           0.000000
          1.000000 |           0.000000 |           1.000000 |           0.000000 |           0.000000 |           0.000000
          1.000000 |           0.000000 |           1.000000 |           0.000000 |           1.000000 |           0.000000
          1.000000 |           0.000000 |           1.000000 |           1.000000 |           0.000000 |           0.000000
          1.000000 |           0.000000 |           1.000000 |           1.000000 |           1.000000 |           0.000000
          1.000000 |           1.000000 |           0.000000 |           0.000000 |           0.000000 |           0.000000
          1.000000 |           1.000000 |           0.000000 |           0.000000 |           1.000000 |           0.000000
          1.000000 |           1.000000 |           0.000000 |           1.000000 |           0.000000 |           0.000000
          1.000000 |           1.000000 |           0.000000 |           1.000000 |           1.000000 |           0.000000
          1.000000 |           1.000000 |           1.000000 |           0.000000 |           0.000000 |           0.000000
          1.000000 |           1.000000 |           1.000000 |           0.000000 |           1.000000 |           0.000000
          1.000000 |           1.000000 |           1.000000 |           1.000000 |           0.000000 |           0.000000
          1.000000 |           1.000000 |           1.000000 |           1.000000 |           1.000000 |           0.000000
